period,group,owner_occupied_value_millions,investment_value_millions,total_housing_value_millions,owner_occupied_share,investment_share,total_housing_share
2019-03-01,Big 5,822260.9,562931.9,1385192.8,0.77625740,0.86610064,0.81042180
2019-03-01,Others,237002.3,87029.4,324031.7,0.22374260,0.13389936,0.18957820
2019-04-01,Big 5,824437.3,562904.9,1387342.2,0.77574291,0.86564024,0.80986810
2019-04-01,Others,238334.0,87370.9,325704.9,0.22425709,0.13435976,0.19013190
2019-05-01,Big 5,828160.9,562396.8,1390557.7,0.77603756,0.86530612,0.80982650
2019-05-01,Others,239005.1,87542.9,326548.0,0.22396244,0.13469388,0.19017350
2019-06-01,Big 5,833049.5,562136.2,1395185.7,0.77642144,0.86497423,0.80982556
2019-06-01,Others,239885.2,87751.6,327636.8,0.22357856,0.13502577,0.19017444
2019-07-01,Big 5,835744.8,559757.6,1395502.4,0.77643935,0.86459626,0.80954908
2019-07-01,Others,240636.5,87663.2,328299.7,0.22356065,0.13540374,0.19045092
2019-08-01,Big 5,838675.4,558406.0,1397081.4,0.77610611,0.86368094,0.80888869
2019-08-01,Others,241944.1,88136.0,330080.1,0.22389389,0.13631906,0.19111131
2019-09-01,Big 5,840479.0,555628.1,1396107.1,0.77573929,0.86303010,0.80827554
2019-09-01,Others,242976.5,88182.7,331159.2,0.22426071,0.13696990,0.19172446
2019-10-01,Big 5,844003.6,553860.6,1397864.2,0.77555968,0.86208224,0.80767813
2019-10-01,Others,244247.4,88607.8,332855.2,0.22444032,0.13791776,0.19232187
2019-11-01,Big 5,847852.5,553356.0,1401208.5,0.77499364,0.86135046,0.80694295
2019-11-01,Others,246159.7,89072.4,335232.1,0.22500636,0.13864954,0.19305705
2019-12-01,Big 5,851749.8,553181.2,1404931.0,0.77448592,0.86079444,0.80631861
2019-12-01,Others,248011.7,89459.1,337470.8,0.22551408,0.13920556,0.19368139
2020-01-01,Big 5,854170.6,552775.5,1406946.1,0.77376938,0.85966779,0.80538710
2020-01-01,Others,249737.9,90235.1,339973.0,0.22623062,0.14033221,0.19461290
2020-02-01,Big 5,856625.8,552570.6,1409196.4,0.77370910,0.85929461,0.80515423
2020-02-01,Others,250542.0,90480.8,341022.8,0.22629090,0.14070539,0.19484577
2020-03-01,Big 5,860979.4,551139.4,1412118.8,0.77588562,0.86016545,0.80673621
2020-03-01,Others,248693.7,89597.1,338290.8,0.22411438,0.13983455,0.19326379
2020-04-01,Big 5,865304.5,549607.0,1414911.5,0.77612773,0.85979457,0.80661715
2020-04-01,Others,249595.1,89623.6,339218.7,0.22387227,0.14020543,0.19338285
2020-05-01,Big 5,869802.8,548705.1,1418507.9,0.77669550,0.85945591,0.80674538
2020-05-01,Others,250073.4,89728.0,339801.4,0.22330450,0.14054409,0.19325462
2020-06-01,Big 5,875935.8,549870.2,1425806.0,0.77770663,0.85971542,0.80740956
2020-06-01,Others,250370.4,89725.4,340095.8,0.22229337,0.14028458,0.19259044
2020-07-01,Big 5,878008.6,548677.3,1426685.9,0.77784517,0.85933295,0.80728579
2020-07-01,Others,250761.8,89814.8,340576.6,0.22215483,0.14066705,0.19271421
2020-08-01,Big 5,881636.1,548668.7,1430304.8,0.77804872,0.85941007,0.80736922
2020-08-01,Others,251501.3,89756.1,341257.4,0.22195128,0.14058993,0.19263078
2020-09-01,Big 5,888525.9,546573.3,1435099.2,0.77837031,0.85874765,0.80714332
2020-09-01,Others,252994.9,89903.9,342898.8,0.22162969,0.14125235,0.19285668
2020-10-01,Big 5,892614.4,547349.6,1439964.0,0.77833124,0.85918735,0.80720629
2020-10-01,Others,254216.6,89705.4,343922.0,0.22166876,0.14081265,0.19279371
2020-11-01,Big 5,897779.6,548092.6,1445872.2,0.77810489,0.85928740,0.80700671
2020-11-01,Others,256023.2,89752.9,345776.1,0.22189511,0.14071260,0.19299329
2020-12-01,Big 5,904115.4,549197.8,1453313.2,0.77816878,0.85963802,0.80707294
2020-12-01,Others,257734.6,89673.2,347407.8,0.22183122,0.14036198,0.19292706
2021-01-01,Big 5,908245.3,549835.7,1458081.0,0.77816278,0.85959173,0.80699023
2021-01-01,Others,258920.9,89811.8,348732.7,0.22183722,0.14040827,0.19300977
2021-02-01,Big 5,913332.3,550444.0,1463776.3,0.77834893,0.85947585,0.80699332
2021-02-01,Others,260090.4,89997.5,350087.9,0.22165107,0.14052415,0.19300668
2021-03-01,Big 5,940039.2,531234.4,1471273.6,0.78197740,0.85459849,0.80673005
2021-03-01,Others,262091.7,90384.3,352476.0,0.21802260,0.14540151,0.19326995
2021-04-01,Big 5,946700.0,531528.3,1478228.3,0.78204432,0.85420872,0.80654467
2021-04-01,Others,263845.2,90718.1,354563.3,0.21795568,0.14579128,0.19345533
2021-05-01,Big 5,954764.9,532562.4,1487327.3,0.78231877,0.85358412,0.80642676
2021-05-01,Others,265664.6,91350.8,357015.4,0.21768123,0.14641588,0.19357324
2021-06-01,Big 5,964733.5,534948.2,1499681.7,0.78230092,0.85291636,0.80610760
2021-06-01,Others,268466.5,92250.7,360717.2,0.21769908,0.14708364,0.19389240
2021-07-01,Big 5,971123.8,535459.1,1506582.9,0.77780409,0.84928437,0.80178834
2021-07-01,Others,277421.7,95023.6,372445.3,0.22219591,0.15071563,0.19821166
2021-08-01,Big 5,977902.1,536813.9,1514716.0,0.77815909,0.84914294,0.80191657
2021-08-01,Others,278784.5,95369.3,374153.8,0.22184091,0.15085706,0.19808343
2021-09-01,Big 5,983888.6,538129.1,1522017.7,0.77787544,0.84865998,0.80151185
2021-09-01,Others,280952.2,95963.6,376915.8,0.22212456,0.15134002,0.19848815
2021-10-01,Big 5,990374.2,539650.7,1530024.9,0.77772272,0.84833385,0.80124537
2021-10-01,Others,283054.2,96479.4,379533.6,0.22227728,0.15166615,0.19875463
2021-11-01,Big 5,997784.2,542622.9,1540407.1,0.77728857,0.84811743,0.80084812
2021-11-01,Others,285888.6,97174.0,383062.6,0.22271143,0.15188257,0.19915188
2021-12-01,Big 5,1007363.3,546830.4,1554193.7,0.77732380,0.84853723,0.80097524
2021-12-01,Others,288574.5,97608.5,386183.0,0.22267620,0.15146277,0.19902476
2022-01-01,Big 5,1012194.0,549255.3,1561449.3,0.77620412,0.84794203,0.80001227
2022-01-01,Others,291836.7,98495.7,390332.4,0.22379588,0.15205797,0.19998773
2022-02-01,Big 5,1016137.7,550671.8,1566809.5,0.77506817,0.84707635,0.79893798
2022-02-01,Others,294892.4,99413.4,394305.8,0.22493183,0.15292365,0.20106202
2022-03-01,Big 5,1020479.1,553154.1,1573633.2,0.77380776,0.84624455,0.79781306
2022-03-01,Others,298296.9,100503.4,398800.3,0.22619224,0.15375545,0.20218694
2022-04-01,Big 5,1024654.5,555475.1,1580129.6,0.77288323,0.84573473,0.79701807
2022-04-01,Others,301101.4,101320.8,402422.2,0.22711677,0.15426527,0.20298193
2022-05-01,Big 5,1030128.7,557887.2,1588015.9,0.77206127,0.84520052,0.79626832
2022-05-01,Others,304129.0,102177.7,406306.7,0.22793873,0.15479948,0.20373168
2022-06-01,Big 5,1044954.2,563174.3,1608128.5,0.77620859,0.84866864,0.80013320
2022-06-01,Others,301274.4,100423.1,401697.5,0.22379141,0.15133136,0.19986680
2022-07-01,Big 5,1048864.8,563990.2,1612855.0,0.77652803,0.84835025,0.80021821
2022-07-01,Others,301846.0,100818.0,402664.0,0.22347197,0.15164975,0.19978179
2022-08-01,Big 5,1055166.7,565303.2,1620469.9,0.77705447,0.84782097,0.80035947
2022-08-01,Others,302739.0,101468.7,404207.7,0.22294553,0.15217903,0.19964053
2022-09-01,Big 5,1061208.0,566170.4,1627378.4,0.77766275,0.84742816,0.80059294
2022-09-01,Others,303404.1,101933.9,405338.0,0.22233725,0.15257184,0.19940706
2022-10-01,Big 5,1068759.3,567022.0,1635781.3,0.77872486,0.84730017,0.80120233
2022-10-01,Others,303688.6,102188.3,405876.9,0.22127514,0.15269983,0.19879767
2022-11-01,Big 5,1075311.3,568983.8,1644295.1,0.77901204,0.84732913,0.80136991
2022-11-01,Others,305041.3,102518.9,407560.2,0.22098796,0.15267087,0.19863009
2022-12-01,Big 5,1081479.9,571044.0,1652523.9,0.77917581,0.84741200,0.80147727
2022-12-01,Others,306499.4,102824.2,409323.6,0.22082419,0.15258800,0.19852273
2023-01-01,Big 5,1086340.4,571989.9,1658330.3,0.77926630,0.84733859,0.80147487
2023-01-01,Others,307715.0,103053.0,410768.0,0.22073370,0.15266141,0.19852513
2023-02-01,Big 5,1090672.1,573115.3,1663787.4,0.77946941,0.84745105,0.80162023
2023-02-01,Others,308577.3,103166.0,411743.3,0.22053059,0.15254895,0.19837977
2023-03-01,Big 5,1095360.2,574200.1,1669560.3,0.77972135,0.84608155,0.80133718
2023-03-01,Others,309449.6,104458.0,413907.6,0.22027865,0.15391845,0.19866282
2023-04-01,Big 5,1099491.0,575788.4,1675279.4,0.77951891,0.84614539,0.80120192
2023-04-01,Others,310982.8,104695.6,415678.4,0.22048109,0.15385461,0.19879808
2023-05-01,Big 5,1105553.2,577342.5,1682895.7,0.77929244,0.84599770,0.80095836
2023-05-01,Others,313109.6,105097.3,418206.9,0.22070756,0.15400230,0.19904164
2023-06-01,Big 5,1112175.0,580454.2,1692629.2,0.77880736,0.84598357,0.80060854
2023-06-01,Others,315873.9,105675.2,421549.1,0.22119264,0.15401643,0.19939146
2023-07-01,Big 5,1113983.2,581328.6,1695311.8,0.77843477,0.84576878,0.80028208
2023-07-01,Others,317072.1,106008.9,423081.0,0.22156523,0.15423122,0.19971792
2023-08-01,Big 5,1118558.3,583112.6,1701670.9,0.77864459,0.84604136,0.80049621
2023-08-01,Others,317987.1,106112.1,424099.2,0.22135541,0.15395864,0.19950379
2023-09-01,Big 5,1122850.8,584366.7,1707217.5,0.77851253,0.84621645,0.80043321
2023-09-01,Others,319452.0,106197.4,425649.4,0.22148747,0.15378355,0.19956679
2023-10-01,Big 5,1127940.2,585770.9,1713711.1,0.77860047,0.84644791,0.80053372
2023-10-01,Others,320736.3,106263.3,426999.6,0.22139953,0.15355209,0.19946628
2023-11-01,Big 5,1134376.4,588285.3,1722661.7,0.77852767,0.84675655,0.80055641
2023-11-01,Others,322702.7,106466.1,429168.8,0.22147233,0.15324345,0.19944359
2023-12-01,Big 5,1140379.1,590115.7,1730494.8,0.77871955,0.84720167,0.80079338
2023-12-01,Others,324049.4,106431.2,430480.6,0.22128045,0.15279833,0.19920662
2024-01-01,Big 5,1144514.8,591169.6,1735684.4,0.77859071,0.84741648,0.80074143
2024-01-01,Others,325467.8,106444.4,431912.2,0.22140929,0.15258352,0.19925857
2024-02-01,Big 5,1148206.1,591994.0,1740200.1,0.77857002,0.84758966,0.80075215
2024-02-01,Others,326556.7,106450.1,433006.8,0.22142998,0.15241034,0.19924785
2024-03-01,Big 5,1153391.5,593933.4,1747324.9,0.77877591,0.84791497,0.80097600
2024-03-01,Others,327639.8,106530.0,434169.8,0.22122409,0.15208503,0.19902400
2024-04-01,Big 5,1159336.1,596253.0,1755589.1,0.77907425,0.84844265,0.80132557
2024-04-01,Others,328758.4,106508.7,435267.1,0.22092575,0.15155735,0.19867443
2024-05-01,Big 5,1165518.7,599201.2,1764719.9,0.77912769,0.84875264,0.80145095
2024-05-01,Others,330409.0,106777.4,437186.4,0.22087231,0.15124736,0.19854905
2024-06-01,Big 5,1173702.6,602866.3,1776568.9,0.77910423,0.84876043,0.80142327
2024-06-01,Others,332774.4,107424.0,440198.4,0.22089577,0.15123957,0.19857673
2024-07-01,Big 5,1177180.8,604626.1,1781806.9,0.77888821,0.84902559,0.80135175
2024-07-01,Others,334179.6,107515.1,441694.7,0.22111179,0.15097441,0.19864825
2024-08-01,Big 5,1181299.8,607061.7,1788361.5,0.77857661,0.84907986,0.80115830
2024-08-01,Others,335955.9,107902.5,443858.4,0.22142339,0.15092014,0.19884170
2024-09-01,Big 5,1185880.2,609785.0,1795665.2,0.77833830,0.84893642,0.80095758
2024-09-01,Others,337724.9,108507.9,446232.8,0.22166170,0.15106358,0.19904242
2024-10-01,Big 5,1192412.2,612049.1,1804461.3,0.77870444,0.84904215,0.80121822
2024-10-01,Others,338864.8,108821.0,447685.8,0.22129556,0.15095785,0.19878178
2024-11-01,Big 5,1199268.3,615413.3,1814681.6,0.77893386,0.84917342,0.80141452
2024-11-01,Others,340359.6,109307.1,449666.7,0.22106614,0.15082658,0.19858548
2024-12-01,Big 5,1205176.0,619790.4,1824966.4,0.77891963,0.84968558,0.80159267
2024-12-01,Others,342064.5,109644.6,451709.1,0.22108037,0.15031442,0.19840733
2025-01-01,Big 5,1209272.7,622047.9,1831320.6,0.77876948,0.84952958,0.80144424
2025-01-01,Others,343526.6,110178.4,453705.0,0.22123052,0.15047042,0.19855576
2025-02-01,Big 5,1213409.5,623858.8,1837268.3,0.77872623,0.84954294,0.80141020
2025-02-01,Others,344788.3,110487.6,455275.9,0.22127377,0.15045706,0.19858980
2025-03-01,Big 5,1218554.2,626234.4,1844788.6,0.77861644,0.84905069,0.80117803
2025-03-01,Others,346470.8,111335.7,457806.5,0.22138356,0.15094931,0.19882197
2025-04-01,Big 5,1224299.4,629500.2,1853799.6,0.77867772,0.84907544,0.80123599
2025-04-01,Others,347980.6,111894.7,459875.3,0.22132228,0.15092456,0.19876401
2025-05-01,Big 5,1231049.2,632930.6,1863979.8,0.77872160,0.84879608,0.80118120
2025-05-01,Others,349810.0,112749.8,462559.8,0.22127840,0.15120392,0.19881880
2025-06-01,Big 5,1240109.7,638389.5,1878499.2,0.77886881,0.84884127,0.80131692
2025-06-01,Others,352083.6,113682.2,465765.8,0.22113119,0.15115873,0.19868308
2025-07-01,Big 5,1244131.7,641701.3,1885833.0,0.77921047,0.84903406,0.80164351
2025-07-01,Others,352525.1,114100.3,466625.4,0.22078953,0.15096594,0.19835649
2025-08-01,Big 5,1249412.0,646478.7,1895890.7,0.77942541,0.84940594,0.80195498
2025-08-01,Others,353579.1,114616.4,468195.5,0.22057459,0.15059406,0.19804502
2025-09-01,Big 5,1255846.0,651418.6,1907264.6,0.77961257,0.84956824,0.80217271
2025-09-01,Others,355013.1,115345.7,470358.8,0.22038743,0.15043176,0.19782729
2025-10-01,Big 5,1263310.2,656933.9,1920244.1,0.78011361,0.85002531,0.80269944
2025-10-01,Others,356082.4,115906.5,471988.9,0.21988639,0.14997469,0.19730056
2025-11-01,Big 5,1272417.0,661518.5,1933935.5,0.78056330,0.85012164,0.80303855
2025-11-01,Others,357709.6,116627.2,474336.8,0.21943670,0.14987836,0.19696145
2025-12-01,Big 5,1283542.7,665256.0,1948798.7,0.78129021,0.84941363,0.80328234
2025-12-01,Others,359307.4,117938.4,477245.8,0.21870979,0.15058637,0.19671766
2026-01-01,Big 5,1287966.5,670063.7,1958030.2,0.78120518,0.84956745,0.80332631
2026-01-01,Others,360725.2,118647.9,479373.1,0.21879482,0.15043255,0.19667369
