period,abn,institution_name,big5_flag,owner_occupied_value_millions,investment_value_millions,total_housing_value_millions,system_owner_occupied_millions,system_investment_millions,system_total_housing_millions,owner_occupied_share,investment_share,total_housing_share
2019-03-01,70744009137,ABN AMRO Bank N.V.,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,48848300367,Agricultural Bank of China Limited,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,15081596009,AMP Bank Limited,false,12937.5,4323.8,17261.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.01221368,0.00665240,0.01009891
2019-03-01,37002950745,Arab Bank Australia Limited,false,160,177.4,337.4,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00015105,0.00027294,0.00019740
2019-03-01,11005357522,Australia and New Zealand Banking Group Limited,true,159734.2,89984.3,249718.5,1059263.2000000004,649961.2999999998,1709224.4999999995,0.15079746,0.13844563,0.14610047
2019-03-01,11087651125,Australian Central Credit Union Ltd,false,5722.7,1273.5,6996.2,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00540253,0.00195935,0.00409320
2019-03-01,48087649741,Australian Military Bank Ltd,false,899.1,150.9,1050,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00084880,0.00023217,0.00061431
2019-03-01,93087650726,Australian Mutual Bank Ltd,false,529.7,131.5,661.2,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00050006,0.00020232,0.00038684
2019-03-01,14087822491,Australian Settlements Limited,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,30087652079,Australian Unity Bank Limited,false,383.3,209.7,593,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00036186,0.00032263,0.00034694
2019-03-01,40087652060,Auswide Bank Ltd,false,1712.1,757.3,2469.3999999999996,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00161631,0.00116515,0.00144475
2019-03-01,32087652088,B&E Ltd,false,625.6,140.4,766,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00059060,0.00021601,0.00044816
2019-03-01,50087649750,Bananacoast Community Credit Union Ltd,false,729.1,287.1,1016.2,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00068831,0.00044172,0.00059454
2019-03-01,21087651607,Bank Australia Limited,false,3799.3,723.6,4522.900000000001,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00358674,0.00111330,0.00264617
2019-03-01,51064874531,"Bank of America, National Association",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,48125314249,Bank of Baroda,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,28110077622,Bank of China (Australia) Limited,false,974,366.9,1340.9,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00091951,0.00056450,0.00078451
2019-03-01,29002979955,Bank of China Limited,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,74137909963,"Bank of Communications Co., Ltd.",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,32009656740,Bank of Queensland Limited,false,15746,11697.5,27443.5,1059263.2000000004,649961.2999999998,1709224.4999999995,0.01486505,0.01799723,0.01605611
2019-03-01,44093488629,Bank of Sydney Ltd,false,832.9,291.4,1124.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00078630,0.00044833,0.00065778
2019-03-01,71608940718,Bank of Taiwan,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,11068049178,Bendigo and Adelaide Bank Limited,false,27299.2,13276.7,40575.9,1059263.2000000004,649961.2999999998,1709224.4999999995,0.02577188,0.02042691,0.02373936
2019-03-01,15087651143,Beyond Bank Australia Limited,false,3461.4,830.2,4291.6,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00326774,0.00127731,0.00251085
2019-03-01,63087651849,BNK Banking Corporation Limited,false,101,56.8,157.8,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00009535,0.00008739,0.00009232
2019-03-01,23000000117,BNP Paribas,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,87149440291,BNP Paribas Securities Services,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,33608235847,Canadian Imperial Bank of Commerce,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,24125167553,China Construction Bank Corporation,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,69322403457,"China Everbright Bank Co., Ltd",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,96609857383,"China Merchants Bank Co., Ltd",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,34072814058,"Citibank, N.A.",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,88004325080,Citigroup Pty Limited,false,3989.3,2450,6439.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00376611,0.00376946,0.00376738
2019-03-01,88087649910,Coastline Credit Union Limited,false,289.2,76.9,366.1,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00027302,0.00011831,0.00021419
2019-03-01,48123123124,Commonwealth Bank of Australia,true,272653,156418.3,429071.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.25739873,0.24065787,0.25103273
2019-03-01,80087649938,Community First Credit Union Limited,false,598,193.5,791.5,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00056454,0.00029771,0.00046308
2019-03-01,70003917655,Cooperatieve Rabobank U.A.,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,17061700712,Credit Suisse AG,false,294.1,116.9,411,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00027765,0.00017986,0.00024046
2019-03-01,44087650959,Credit Union Australia Ltd,false,10232.1,2510,12742.1,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00965964,0.00386177,0.00745490
2019-03-01,36087651232,Credit Union SA Ltd,false,774,165.6,939.6,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00073070,0.00025478,0.00054972
2019-03-01,95087822455,Cuscal Limited,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,46601105373,DBS Bank Ltd,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,57087651385,Defence Bank Limited,false,1737.3,215.6,1952.8999999999999,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00164010,0.00033171,0.00114256
2019-03-01,13064165162,Deutsche Bank Aktiengesellschaft,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,60606234879,"E.SUN Commercial Bank, Ltd.",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,35087650039,EECU Limited,false,184.1,84.2,268.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00017380,0.00012955,0.00015697
2019-03-01,43087650011,Endeavour Mutual Bank Ltd,false,317.3,134.1,451.4,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00029955,0.00020632,0.00026410
2019-03-01,15126292608,First Commercial Bank,false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,95087650735,First Option Bank Ltd,false,121.6,37.4,159,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00011480,0.00005754,0.00009302
2019-03-01,72087650637,G&C Mutual Bank Limited,false,418.9,196.6,615.5,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00039546,0.00030248,0.00036010
2019-03-01,47087650093,Gateway Bank Ltd,false,620.9,190.8,811.7,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00058616,0.00029356,0.00047489
2019-03-01,87087651509,Goulburn Murray Credit Union Co-operative Limited,false,201.3,47.1,248.4,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00019004,0.00007247,0.00014533
2019-03-01,88087651956,Greater Bank Limited,false,4141.7,1205.1,5346.799999999999,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00390998,0.00185411,0.00312820
2019-03-01,32087652024,Heritage Bank Limited,false,5230.3,1687.8,6918.1,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00493768,0.00259677,0.00404751
2019-03-01,64087650164,Holiday Coast Credit Union Ltd,false,348.3,69.7,418,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00032881,0.00010724,0.00024456
2019-03-01,66087650173,Horizon Credit Union Ltd,false,219.4,58.7,278.1,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00020713,0.00009031,0.00016271
2019-03-01,48006434162,HSBC Bank Australia Limited,false,11853.5,5531.7,17385.2,1059263.2000000004,649961.2999999998,1709224.4999999995,0.01119033,0.00851081,0.01017140
2019-03-01,54138221637,"Hua Nan Commercial Bank, Ltd.",false,0,0,0,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00000000,0.00000000,0.00000000
2019-03-01,85051868556,Hume Bank Limited,false,575.4,196.9,772.3,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00054321,0.00030294,0.00045184
2019-03-01,68087650182,Hunter United Employees' Credit Union Limited,false,221.7,41.3,263,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00020930,0.00006354,0.00015387
2019-03-01,14087650771,Illawarra Credit Union Limited,false,369.8,117,486.8,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00034911,0.00018001,0.00028481
2019-03-01,92087651974,IMB Ltd,false,3262.9,994.6,4257.5,1059263.2000000004,649961.2999999998,1709224.4999999995,0.00308035,0.00153024,0.00249090
